Z13,Z19,MeanZ13,MeanZ19,OuterEdgeLengthZ13,OuterEdgeLengthZ19,SurfaceZ13,SurfaceZ19,VarianceZ13,VarianceZ19,Max_DeviationZ13,Max_DeviationZ19,Min_DeviationZ13,Min_DeviationZ19,Span_DeviationZ13,Span_DeviationZ19,Fi_liZ13,Fi_liZ19,Fi_reZ13,Fi_reZ19,fl_liZ13,fl_liZ19,fl_reZ13,fl_reZ19,fk_liZ13,fk_liZ19,fk_reZ13,fk_reZ19,fi_liZ13,fi_liZ19,fi_reZ13,fi_reZ19
9.0,68.0,2649.632863,1825.496018,0.028714132,9.205115634,4.06e-07,0.000118651,7754473503,2532849192,7.438464239,7.42850759,0.209065562,0.187407976,7.229398678,7.241099614,18.248691,10024.66946,8.789258,10021.81053,5.60861,14.7465,5.233211,11.12969,13.22011,10028.14785,4.091991,10023.36994,13.120667,10024.66946,3.881622,10021.81053
12.0,34.0,2649.622582,1825.515793,0.028040004,9.401572758,3.87e-07,0.000121767,7754473558,2532849120,7.438817322,7.428563775,0.209113681,0.187547436,7.229703641,7.241016339,18.338413,10001.5353,8.868032,10003.07259,5.387829,15.95283,5.256383,17.2887,13.814156,10001.88283,4.087667,10003.54954,13.390209,10001.5353,4.315645,10003.07259
18.0,10.0,2649.612155,1825.525931,0.032987915,9.482720437,4.49e-07,0.000122805,7754473613,2532849083,7.438641289,7.428626147,0.209151299,0.187546104,7.22948999,7.241080042,20.069959,9991.1099,8.91302,9988.60636,5.555219,11.94411,5.724429,10.77492,15.237696,9993.80371,4.786714,9990.53409,15.605338,9991.1099,5.54283,9988.60636
19.0,26.0,2649.61682,1825.485264,0.037014141,9.407210114,5.13e-07,0.000123353,7754473588,2532849232,7.438772766,7.428980553,0.209027039,0.187457898,7.229745727,7.241522656,19.356759,10015.22014,9.818806,10011.08569,5.170973,19.05932,5.818912,16.60466,15.135774,10017.48568,5.663298,10015.84967,14.713302,10015.22014,5.297158,10011.08569
21.0,42.0,2649.635067,1825.498164,0.038065212,9.247660345,5.6e-07,0.000121027,7754473492,2532849184,7.43867131,7.42859169,0.209054217,0.187512326,7.229617093,7.241079365,19.746953,10013.97131,9.732768,10011.94416,5.440739,14.09495,5.58358,9.84738,14.821448,10014.87233,4.488035,10012.23526,14.780756,10013.97131,4.549376,10011.94416
21.0,85.0,2649.635067,1825.498164,0.038065212,9.247660345,5.6e-07,0.000121027,7754473492,2532849184,7.43867131,7.42859169,0.209054217,0.187512326,7.229617093,7.241079365,19.746953,10013.97131,9.732768,10011.94416,5.440739,14.09495,5.58358,9.84738,14.821448,10014.87233,4.488035,10012.23526,14.780756,10013.97131,4.549376,10011.94416
25.0,82.0,2649.6283,1825.496841,0.038534878,9.221900418,5.49e-07,0.000120479,7754473527,2532849189,7.438720931,7.428526616,0.209119973,0.187511908,7.229600958,7.241014709,20.51247,10022.77634,9.670212,10023.83914,5.170769,16.40168,5.914767,15.98936,15.93194,10022.82639,4.550127,10023.80808,15.400222,10022.77634,4.598739,10023.83914
25.0,84.0,2649.6283,1825.501264,0.038534878,9.344937895,5.49e-07,0.000122104,7754473527,2532849173,7.438720931,7.428221634,0.209119973,0.187430605,7.229600958,7.240791029,20.51247,10013.38882,9.670212,10011.3398,5.170769,18.46304,5.914767,14.63455,15.93194,10013.77174,4.550127,10012.59541,15.400222,10013.38882,4.598739,10011.3398
29.0,78.0,2649.630084,1825.501264,0.029945159,9.344937895,4.3e-07,0.000122104,7754473518,2532849173,7.438781559,7.428221634,0.209124476,0.187430605,7.229657083,7.240791029,18.348176,10013.38882,9.379466,10011.3398,4.107298,18.46304,4.926055,14.63455,14.598843,10013.77174,5.184798,10012.59541,15.462666,10013.38882,4.385482,10011.3398
40.0,17.0,2649.627541,1825.495386,0.037889601,9.405698912,5.37e-07,0.000122305,7754473531,2532849195,7.438514193,7.428516769,0.209033623,0.187400551,7.22948057,7.241116218,21.071454,10021.97821,8.908451,10024.31833,5.732021,16.91209,4.507308,16.32725,15.937472,10023.44018,4.646658,10025.95927,15.529757,10021.97821,5.252361,10024.31833
40.0,98.0,2649.627541,1825.495386,0.037889601,9.405698912,5.37e-07,0.000122305,7754473531,2532849195,7.438514193,7.428516769,0.209033623,0.187400551,7.22948057,7.241116218,21.071454,10021.97821,8.908451,10024.31833,5.732021,16.91209,4.507308,16.32725,15.937472,10023.44018,4.646658,10025.95927,15.529757,10021.97821,5.252361,10024.31833
42.0,58.0,2649.621067,1825.506895,0.042543029,9.468686329,6.17e-07,0.000123189,7754473566,2532849153,7.438658673,7.428551089,0.20911707,0.18746041,7.229541603,7.241090678,20.02984,10026.38747,7.906994,10018.36146,4.541912,20.22631,3.26927,23.71587,15.871961,10027.90061,5.021498,10019.00116,15.21272,10026.38747,5.023996,10018.36146
46.0,1.0,2649.628071,1825.527713,0.029714082,9.364127043,4.23e-07,0.000124569,7754473529,2532849077,7.438648301,7.428426184,0.209074877,0.187546764,7.229573424,7.24087942,18.643649,9996.18,8.639161,10072.64127,4.939407,15.6119,4.360976,14.05628,14.669857,9996.15917,4.543134,10080.88161,14.528968,9996.18,4.570117,10072.64127
48.0,94.0,2649.617528,1825.527713,0.030223036,9.364127043,4.35e-07,0.000124569,7754473585,2532849077,7.43845,7.428426184,0.209045445,0.187546764,7.229404555,7.24087942,19.414907,9996.18,9.83058,10072.64127,4.294541,15.6119,5.60948,14.05628,15.666302,9996.15917,5.032567,10080.88161,15.747889,9996.18,5.145636,10072.64127
49.0,49.0,2649.618776,1825.527713,0.035108344,9.364127043,4.9e-07,0.000124569,7754473578,2532849077,7.438733217,7.428426184,0.20900356,0.187546764,7.229729657,7.24087942,18.788898,9996.18,8.971879,10072.64127,4.507854,15.6119,4.997955,14.05628,15.757669,9996.15917,4.796507,10080.88161,16.051562,9996.18,4.731779,10072.64127
